#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
    2.58882e-5      90.0526 
    2.59321e-5      84.6325 
     2.5976e-5      79.6964 
      2.602e-5      75.1882 
    2.60639e-5      71.0602 
    2.60932e-5      68.4987 
    2.61518e-5      63.7843 
    2.62103e-5      59.5529 
    2.62689e-5      55.7412 
    2.63275e-5      52.2956 
    2.63861e-5      49.1709 
    2.64446e-5      46.3289 
    2.65032e-5      43.7367 
    2.65618e-5       41.366 
    2.66203e-5      39.1926 
    2.66789e-5      37.1955 
    2.67375e-5      35.3562 
    2.68254e-5      32.8589 
    2.69132e-5      30.6354 
    2.70011e-5      28.6477 
    2.70889e-5      26.8643 
    2.71768e-5      25.2586 
    2.72647e-5      23.8085 
    2.73525e-5      22.4951 
    2.74404e-5      21.3022 
    2.75282e-5      20.2161 
    2.76161e-5       19.225 
    2.77332e-5      18.0338 
    2.78504e-5      16.9729 
    2.79675e-5      16.0252 
    2.80847e-5      15.1763 
    2.82018e-5      14.4142 
    2.83073e-5      13.7941 
    2.84127e-5      13.2297 
    2.85415e-5      12.6075 
    2.86704e-5      12.0518 
    2.88221e-5      11.4725 
    2.89738e-5      10.9649 
    2.91262e-5       10.519 
      2.928e-5      10.1269 
    2.94338e-5      9.78697 
    2.95891e-5      9.49172 
    2.96931e-5      9.31865 
    2.99011e-5      9.02765 
     3.0112e-5      8.80203 
    3.03229e-5      8.64129 
    3.05368e-5      8.54206 
    3.07634e-5      8.50318 
     3.0776e-5      8.50296 
    3.09931e-5      8.53465 
    3.12102e-5       8.6302 
    3.13753e-5      8.74807 
    3.15404e-5      8.90724 
    3.17063e-5      9.11031 
    3.18738e-5      9.36661 
    3.20412e-5      9.67918 
    3.22102e-5      10.0577 
    3.23801e-5      10.5105 
    3.25499e-5      11.0467 
    3.26647e-5      11.4634 
    3.27795e-5      11.9295 
    3.28943e-5      12.4511 
    3.30091e-5      13.0354 
    3.31255e-5      13.7005 
    3.32419e-5      14.4492 
    3.33584e-5      15.2939 
    3.34748e-5      16.2498 
    3.35633e-5      17.0624 
    3.36519e-5      17.9596 
    3.37404e-5      18.9525 
     3.3829e-5      20.0541 
    3.39175e-5      21.2793 
    3.40069e-5      22.6592 
    3.40967e-5      24.2148 
    3.41865e-5      25.9704 
    3.42464e-5      27.2687 
    3.43063e-5      28.6825 
    3.43661e-5      30.2257 
     3.4426e-5      31.9141 
    3.44784e-5      33.5265 
    3.45308e-5      35.2788 
    3.45833e-5      37.1875 
    3.46357e-5      39.2717 
    3.46881e-5      41.5534 
    3.47405e-5      44.0583 
     3.4793e-5      46.8163 
    3.48454e-5      49.8625 
    3.49037e-5      53.6392 
    3.49426e-5      56.4168 
    3.49814e-5      59.4292 
    3.50203e-5      62.7038 
    3.50592e-5       66.272 
     3.5098e-5      70.1703 
    3.51369e-5      74.4414 
    3.51723e-5      78.7027 
    3.52043e-5      82.8897 
    3.52363e-5      87.4358 
    3.52683e-5      92.3829 
    3.53003e-5      97.7793 
    3.53324e-5      103.681 
    3.53644e-5      110.154 
    3.53964e-5      117.276 
    3.54238e-5      123.965 
    3.54581e-5      133.193 
    3.54924e-5      143.532 
    3.55152e-5      151.132 
    3.55381e-5      159.373 
     3.5561e-5      168.332 
    3.55838e-5      178.093 
    3.56056e-5      188.202 
    3.56261e-5      198.622 
    3.56467e-5      209.961 
    3.56673e-5      222.332 
    3.56879e-5      235.868 
    3.57084e-5      250.723 
     3.5729e-5      267.077 
    3.57496e-5      285.144 
    3.57679e-5      302.846 
    3.57839e-5      319.776 
    3.57999e-5      338.222 
    3.58159e-5      358.378 
    3.58319e-5      380.469 
    3.58479e-5      404.758 
    3.58639e-5      431.559 
    3.58799e-5       461.24 
    3.58941e-5      490.287 
    3.59064e-5      517.991 
    3.59188e-5      548.223 
    3.59311e-5      581.305 
    3.59435e-5      617.608 
    3.59558e-5      657.559 
    3.59681e-5      701.652 
    3.59805e-5      750.453 
    3.59901e-5       792.08 
    3.60004e-5       840.67 
    3.60107e-5       893.85 
    3.60209e-5      952.143 
    3.60312e-5      1016.13 
    3.60415e-5      1086.44 
    3.60507e-5       1154.8 
    3.60598e-5      1229.22 
     3.6069e-5      1310.25 
    3.60781e-5      1398.48 
    3.60873e-5      1494.51 
    3.60964e-5      1598.94 
    3.61055e-5      1712.42 
    3.61147e-5      1835.57 
    3.61238e-5      1968.98 
     3.6133e-5      2113.23 
    3.61421e-5      2268.84 
    3.61513e-5      2436.25 
    3.61604e-5      2615.84 
    3.61696e-5      2807.81 
    3.61787e-5      3012.28 
    3.61924e-5      3342.19 
    3.62061e-5      3698.91 
    3.62198e-5       4080.2 
    3.62381e-5      4620.57 
    3.62884e-5      6185.25 
    3.63067e-5      6725.09 
    3.63204e-5      7097.08 
    3.63342e-5      7429.61 
    3.63479e-5      7713.13 
    3.63616e-5      7939.09 
    3.63753e-5      8100.45 
     3.6389e-5      8192.07 
    3.63998e-5      8213.11 
     3.6411e-5      8187.07 
    3.64247e-5      8089.41 
    3.64384e-5      7922.43 
    3.64521e-5      7691.49 
    3.64658e-5      7403.79 
    3.64796e-5      7067.97 
    3.64933e-5      6693.66 
    3.65116e-5      6152.19 
    3.65619e-5      4590.04 
    3.65801e-5      4052.22 
    3.65939e-5      3673.08 
    3.66076e-5      3318.57 
    3.66213e-5      2990.85 
    3.66304e-5      2787.78 
    3.66396e-5      2597.13 
    3.66487e-5      2418.81 
    3.66579e-5      2252.56 
     3.6667e-5      2098.03 
    3.66762e-5      1954.76 
    3.66853e-5      1822.24 
    3.66945e-5      1699.91 
    3.67036e-5      1587.15 
    3.67128e-5      1483.35 
    3.67219e-5       1387.9 
     3.6731e-5      1300.17 
    3.67402e-5      1219.58 
    3.67512e-5      1131.49 
    3.67621e-5       1051.9 
    3.67731e-5      979.959 
    3.67841e-5      914.856 
    3.67932e-5      865.298 
    3.68024e-5      819.597 
    3.68115e-5        777.4 
    3.68252e-5      719.981 
    3.68389e-5       668.77 
    3.68527e-5      622.939 
    3.68641e-5      588.342 
    3.68778e-5      550.609 
    3.68915e-5      516.505 
    3.69052e-5      485.578 
     3.6919e-5       457.44 
    3.69327e-5       431.76 
    3.69464e-5      408.254 
    3.69601e-5      386.678 
    3.69761e-5      363.665 
    3.69944e-5      339.866 
    3.70127e-5      318.393 
     3.7031e-5      298.944 
    3.70493e-5      281.267 
    3.70676e-5       265.15 
    3.70859e-5       250.41 
    3.71041e-5      236.892 
    3.71236e-5      223.718 
    3.71442e-5      210.956 
    3.71647e-5      199.276 
    3.71853e-5      188.558 
    3.72059e-5      178.698 
    3.72265e-5      169.605 
    3.72573e-5      157.236 
    3.72779e-5      149.739 
    3.73008e-5      142.032 
    3.73236e-5      134.915 
    3.73579e-5      125.218 
    3.73922e-5      116.546 
    3.74265e-5       108.76 
    3.74608e-5      101.741 
    3.74882e-5      96.6126 
    3.75294e-5      89.6297 
    3.75705e-5      83.3903 
    3.76117e-5      77.7916 
    3.76528e-5      72.7483 
    3.76946e-5      68.1283 
    3.77374e-5      63.8338 
    3.77803e-5      59.9409 
    3.78231e-5      56.4014 
     3.7866e-5      53.1739 
    3.79089e-5      50.2229 
    3.79546e-5      47.3451 
    3.80003e-5      44.7141 
    3.80461e-5      42.3022 
    3.80918e-5      40.0852 
    3.81375e-5      38.0427 
    3.82061e-5      35.2679 
    3.82747e-5      32.7952 
    3.83318e-5      30.9348 
     3.8389e-5      29.2342 
    3.84461e-5      27.6755 
    3.85033e-5      26.2434 
    3.85604e-5      24.9246 
    3.86462e-5      23.1335 
    3.87319e-5      21.5379 
    3.88176e-5      20.1103 
    3.89034e-5       18.828 
    3.89891e-5      17.6718 
    3.90748e-5      16.6258 
    3.91606e-5      15.6763 
    3.92463e-5      14.8118 
     3.9332e-5      14.0225 
    3.94178e-5      13.2998 
    3.95321e-5      12.4276 
    3.96464e-5      11.6463 
    3.97607e-5      10.9439 
     3.9875e-5      10.3099 
    3.99893e-5      9.73585 
    4.01036e-5       9.2144 
    4.02179e-5      8.73934 
    4.03322e-5      8.30533 
    4.04465e-5       7.9078 
     4.0618e-5      7.37137 
    4.07895e-5      6.89701 
    4.09609e-5      6.47556 
    4.11324e-5      6.09952 
    4.13039e-5      5.76258 
    4.14753e-5      5.45979 
    4.16948e-5      5.11509 
    4.19142e-5      4.81116 
    4.21346e-5      4.54097 
    4.23572e-5      4.29911 
    4.25797e-5      4.08415 
    4.28043e-5      3.88974 
      4.303e-5      3.71479 
    4.32556e-5      3.55777 
    4.35608e-5      3.37013 
    4.38659e-5      3.20684 
    4.41753e-5      3.06244 
    4.44848e-5      2.93635 
    4.47986e-5      2.82462 
    4.51124e-5      2.72704 
    4.54306e-5      2.64073 
    4.57488e-5      2.56564 
    4.62329e-5       2.4702 
    4.67215e-5      2.39371 
    4.72147e-5      2.33446 
    4.77126e-5      2.29069 
    4.82174e-5      2.25832 
     4.8727e-5      2.24026 
    4.91576e-5      2.23482 
    4.96778e-5      2.23973 
    5.02028e-5      2.25716 
    5.07328e-5       2.2875 
    5.12677e-5       2.3315 
    5.18102e-5      2.39064 
    5.23578e-5      2.46638 
    5.29105e-5      2.56101 
    5.34683e-5      2.67757 
    5.38455e-5      2.77003 
    5.42227e-5      2.87507 
    5.46052e-5      2.99608 
    5.49877e-5      3.13375 
    5.53756e-5      3.29305 
    5.57635e-5      3.47538 
    5.60585e-5      3.63202 
    5.63535e-5      3.80657 
    5.66499e-5      4.00267 
    5.69491e-5      4.22496 
    5.72483e-5      4.47577 
